platform,content,score,user,time,song_id
网易云音乐,生着病发烧。身上一点钱都没有了。才开始工作，工资也还没有支出来 快两天都没吃什么了   一个人躺在出租屋里好无力  感觉自己快坚持不下去了  我能讨碗饭吃吗…,1,西红柿_0lvQ,2025-04-24 21:12:17,1359356908
网易云音乐,与家里人吵架出来了 身上一点钱都没有了。才开始工作，工资也还没有支出来 快两天都没吃什么了   一个人躺在出租屋里好无力  感觉自己快坚持不下去了  我能讨碗饭吃吗…,1,抹茶布丁Ii,2025-04-24 21:04:09,1359356908
网易云音乐,太贪心要进黑名单的阿[大哭],1,真的是服了呢,2025-04-24 20:55:04,1359356908
网易云音乐,晚是全世界的晚 安是只给你的安,1,若我及时止损-,2025-04-24 20:44:48,1359356908
网易云音乐,从泷泷那里转过来的这首也很好听哦[VIP],1,我不颠-,2025-04-24 20:41:11,1359356908
网易云音乐,嗨👋,1,瀑布悠然自得黑熊,2025-04-24 20:39:50,1359356908
网易云音乐,赶紧听吧，以后要vip就老实了,1,听喵笨,2025-04-24 20:27:38,1359356908
网易云音乐,晚安,1,恰亿小口,2025-04-24 20:11:14,1359356908
网易云音乐,你不在的日子里我真的好想你,1,我爱小泽lyz,2025-04-24 20:07:57,1359356908
网易云音乐,真的不可以吗,1,拜托微辣,2025-04-24 20:06:49,1359356908
网易云音乐,那一张张截图是我们回不去的永远.,1,痛诉軒泪,2025-04-24 20:06:17,1359356908
网易云音乐,那场不久的恋爱你谈了多久.,1,小妤语,2025-04-24 19:48:14,1359356908
网易云音乐,那就一起睡吧！（手动狗头）,1,ins图研所,2025-04-24 19:42:46,1359356908
网易云音乐,我也是！每次听歌的时候都会想到这首歌,1,期末不进前十不改网名略略,2025-04-24 19:40:47,1359356908
网易云音乐,妥协是我最后的无奈,1,再难掩饰悲痛,2025-04-24 19:40:46,1359356908
网易云音乐,晚安💤大家,1,yii_14,2025-04-24 19:40:30,1359356908
网易云音乐,我也这样，但慢慢释怀吧，你值得更好的,1,孤生剑锋,2025-04-24 19:33:36,1359356908
网易云音乐,在这,1,讫尔,2025-04-24 19:31:47,1359356908
网易云音乐,有些人该忘记了 我一直在等待那个对的人出现,1,jay北辰,2025-04-24 19:29:55,1359356908
网易云音乐,因为得不到，所以有所期待,1,狂三最爱kuv,2025-04-24 19:26:27,1359356908
网易云音乐,我来了2025嘟[爱心][鬼脸],1,一起听歌的蔓,2025-04-24 19:18:59,1359356908
网易云音乐,不是双向奔赴的爱意毫无意义,1,帅气哥xny,2025-04-24 19:13:23,1359356908
网易云音乐,可以可以的,1,浮尘豆绿作家,2025-04-24 19:11:31,1359356908
网易云音乐,不要做那种被丢下过一次就不敢再爱的人了[多多难过],1,你滴土豆,2025-04-24 19:09:51,1359356908
网易云音乐,你漂亮的眼睛，要流幸福的眼泪,1,季妘,2025-04-24 19:01:55,1359356908
网易云音乐,总让你不开心 但也总在夜深人静时 下定决心要和你走最远的路,1,妳也听郑润泽吗_,2025-04-24 19:01:40,1359356908
网易云音乐,最近过的好不好 不好的话我们和好,1,X-竹柳,2025-04-24 19:00:37,1359356908
网易云音乐,这里[亲亲],1,L-xxx08,2025-04-24 18:57:05,1359356908
网易云音乐,我们唯一需要担心的就是担心本身,1,夜色萌珑,2025-04-24 18:47:42,1359356908
网易云音乐,会想起你 但不会想和你有任何关系了,1,安兹莉亚,2025-04-24 18:43:27,1359356908
网易云音乐,好像所有的新鲜感都不过半年,1,飞火连城刘畅,2025-04-24 18:41:08,1359356908
网易云音乐,我很喜欢枫叶，但枫叶红时，总多离别。,1,这里在下大雪,2025-04-24 18:39:05,1359356908
网易云音乐,"以前特讨厌烟味 可烟是我发泄情绪的唯一
",1,X-竹柳,2025-04-24 18:37:42,1359356908
网易云音乐,现在只记得你曾经的好,1,乾天道祖,2025-04-24 18:32:08,1359356908
网易云音乐,释怀吧 我的男孩 你会遇到更好的,1,汪晓迪wxd,2025-04-24 18:28:58,1359356908
网易云音乐,可惜奶茶不会一直好喝 朋友也不会一直在一起,1,木易jtx,2025-04-24 18:24:03,1359356908
网易云音乐,动态自取,1,Umsoeng,2025-04-24 18:19:52,1359356908
网易云音乐,生日快乐,1,Mo蜡笔小7_,2025-04-24 18:18:12,1359356908
网易云音乐,想你的夜,1,Mo蜡笔小7_,2025-04-24 18:17:58,1359356908
网易云音乐,我需要你,1,Mo蜡笔小7_,2025-04-24 18:17:34,1359356908
网易云音乐,好听,1,小顺醒醒,2025-04-24 18:14:12,1359356908
网易云音乐,踹踹~,1,苓宝owo,2025-04-24 18:10:11,1359356908
网易云音乐,最近有点累，想睡很久的觉,1,w斩破情绪束缚,2025-04-24 18:00:29,1359356908
网易云音乐,hzl我想你了,1,文青_MFKX,2025-04-24 17:55:09,1359356908
网易云音乐,我也在努力让自己不回头了[多多难过],1,兰枫希彦,2025-04-24 17:47:36,1359356908
网易云音乐,乀′乀🚪ttft,1,尼古丁的救赎_Rodd,2025-04-24 17:47:25,1359356908
网易云音乐,乀′乀🚪ttft,1,尼古丁的救赎_Rodd,2025-04-24 17:47:20,1359356908
网易云音乐,抱抱你啊，希望你可以好好生活下去,1,希昂布楚莱-冥子,2025-04-24 17:41:16,1359356908
网易云音乐,你为我种下一棵许愿树 我们一起守护,1,叽咕_biubiubiu,2025-04-24 17:37:31,1359356908
网易云音乐,接了,1,银耳_VNHn,2025-04-24 17:22:44,1359356908
网易云音乐,"这次是真的再见了
虽然有些舍不得
[可爱]",1,-陪我听Jay_-,2025-04-24 17:10:37,1359356908
网易云音乐,不要想太多啦，可能他根本就不爱你,1,叫姐姐斤斤计较斤斤计较斤,2025-04-24 17:10:13,1359356908
网易云音乐,我以前班主任说我是好好人格，哈哈,1,筱月魈,2025-04-24 17:09:47,1359356908
网易云音乐,"你又牵了谁的手和谁说了会永久.

你若珍惜我这条路多累我都陪你走.

我想成为一个很好的人但是好累.",1,失忆-小洁,2025-04-24 17:01:29,1359356908
网易云音乐,那就祝我们以后都能成为自己想成为的人吧！[多多大笑],1,张昭_月影星魂,2025-04-24 16:46:24,1359356908
网易云音乐,若你真心想我 我也定不负你,1,丶转身泪倾城vid,2025-04-24 16:42:07,1359356908
网易云音乐,这里,1,Dandelion-T2,2025-04-24 16:33:13,1359356908
网易云音乐,晚安,1,-Nnnhh-,2025-04-24 16:27:04,1359356908
网易云音乐,泪失禁体质是遗传的[流泪],1,平凡人ops,2025-04-24 16:12:00,1359356908
网易云音乐,可是真的有人可以忍住自己的情感吗？,1,凯旋凯旋凯旋呐i,2025-04-24 16:10:46,1359356908
网易云音乐,这边,1,VittOri0,2025-04-24 16:03:00,1359356908
网易云音乐,放下吧！好好生活[多多可怜],1,谁是朕的菜,2025-04-24 16:01:44,1359356908
网易云音乐,曾经多少个牵肠拉扯不舍夜晚 到现在热情褪成陌路的感叹,1,Jay-kitty,2025-04-24 15:52:30,1359356908
网易云音乐,可是她连我的名字都不知道呀[心碎],1,爱可冷冷,2025-04-24 15:46:41,1359356908
网易云音乐,同感！我第一次听到这首歌的时候也是这种感觉[多多捂脸],1,biliGayGay大绯闻,2025-04-24 15:42:02,1359356908
网易云音乐,也许总有一天你也会明白我对你的好。,1,惗毅幂,2025-04-24 15:37:07,1359356908
网易云音乐,你说的对 但我不甘心,1,蚂蚁gqi,2025-04-24 15:30:17,1359356908
网易云音乐,加油哦，我也要中考了[大笑],1,一只小沐白i,2025-04-24 15:29:14,1359356908
网易云音乐,我们年级第一是个恋爱脑,1,长留此生clj,2025-04-24 15:20:14,1359356908
网易云音乐,既然有缘为何不珍惜？既无缘又何必强求？,1,丐帮帮主肥宅月月,2025-04-24 15:11:53,1359356908
网易云音乐,但是你不让我淋雨的话 我会感动的,1,皮皮的音乐笔记,2025-04-24 15:08:58,1359356908
网易云音乐,我好像在听他给我发的语音！好幸福啊[流泪],1,薄荷音王子o,2025-04-24 14:57:38,1359356908
网易云音乐,可是我真的好想他啊[多多大哭],1,乾天道祖,2025-04-24 14:42:47,1359356908
网易云音乐,你居然在20年后说时代眼泪[多多大哭],1,小狼狗M,2025-04-24 14:32:23,1359356908
网易云音乐,我听过最美的情话是“你放心去飞 我负责追”,1,Ghoostskill,2025-04-24 14:31:20,1359356908
网易云音乐,或许我们真的错过了,1,Insidenca,2025-04-24 14:29:22,1359356908
网易云音乐,来啦,1,金熯酃,2025-04-24 14:26:25,1359356908
网易云音乐,晚安是对喜欢的人说的[可爱],1,木笙淋上雨,2025-04-24 14:18:18,1359356908
网易云音乐,所以爱是什么 我不明白,1,笠是我捡的,2025-04-24 14:13:11,1359356908
网易云音乐,这,1,Elaine2106,2025-04-24 14:12:42,1359356908
网易云音乐,现在是午安[吐舌],1,ibi7o4o,2025-04-24 14:00:05,1359356908
网易云音乐,晚安,1,小鱼听jay-,2025-04-24 13:57:11,1359356908
网易云音乐,你让我觉得 我在爱里没尊严,1,浅陌ozx,2025-04-24 13:56:05,1359356908
网易云音乐,如果爱的话就不会 但是你不爱我所以会,1,莕仁宝宝,2025-04-24 13:55:41,1359356908
网易云音乐,我不需要解药 因为我有你,1,饿坏了吧世界,2025-04-24 13:50:26,1359356908
网易云音乐,爱是什么我不清楚，我只知道有你在我不害怕，你在我身边我会安心，你不在我心烦,1,捌月念肆,2025-04-24 13:44:15,1359356908
网易云音乐,“好模糊，我看不清你的爱，也看不清你”,1,淇屹,2025-04-24 13:33:18,1359356908
网易云音乐,听,1,嘴角上扬blue,2025-04-24 13:30:53,1359356908
网易云音乐,"那些独自消化的情绪 才是我真正的生活

爱的最高境界是心疼可你始终不懂

往往是不经意间的温柔最能打动人

短暂出现的人是为了惩罚真诚的人

发文案是我唯一发泄情绪的方式了.

付出的真心是一种晦涩难懂的痛.

冷冰冰的字已经代表不了我的委屈.

我还是会偷偷去看你 不属于我的你",1,下1页幸福,2025-04-24 13:24:02,1359356908
网易云音乐,"生活已经很痛了别再说刺痛我的话了.

能幸福我想一直幸福不能那我就一直不谈.

我开始信玄学知道我们是命中注定,

也许未来你也会找到懂你疼你更好的人.

若他不回应那并没必要继续纠缠了.

骗你呢 你看你还是这么好骗 就像他骗你一样 轻而易举

我站在清醒和麻木的边缘不能堕落也不能解脱.

",1,下1页幸福,2025-04-24 13:23:04,1359356908
网易云音乐,"发了很久的呆 想了很久的你

记住我的好或者记住我就好.

暧昧不清的朋友忽冷忽热的恋人.

可你那天并没有看见我泛红的双眼

喜欢上你的那天到现在我还记得

不是说 念念不忘必有回响吗

爱你的同时忘掉了自己.

往事清零重新开始又是自己一个人.",1,下1页幸福,2025-04-24 13:21:45,1359356908
网易云音乐,我的好 你后知后觉吗,1,不太乖Try,2025-04-24 13:17:11,1359356908
网易云音乐,末班车啦,1,木讷_D,2025-04-24 13:06:32,1359356908
网易云音乐,你不了解我 你也不了解你自己。 晚安啦 婷婷,1,月亮月亮_Dex,2025-04-24 12:56:21,1359356908
网易云音乐,已婚当妈每次听颜人中的歌都想谈恋爱是咋回事[大哭],1,打翻醋坛子,2025-04-24 12:48:31,1359356908
网易云音乐,她给我分享的这首歌 是什么意思,1,XxxzTn,2025-04-24 12:20:00,1359356908
网易云音乐,上岸,1,眼在为你下雨,2025-04-24 12:14:52,1359356908
网易云音乐,曾经多少次牵肠拉扯的夜晚 到现在热情褪成陌路的感叹,1,烂命我也认,2025-04-24 11:43:29,1359356908
网易云音乐,晚安这个词太暧昧了 只准你对我讲,1,窝萌菲ovo,2025-04-24 11:15:25,1359356908
网易云音乐,睡不着？来我主页听听dj,1,琪琪琪_YQ,2025-04-24 10:56:45,1359356908
网易云音乐,晚安,1,emotione_1,2025-04-24 10:29:53,1359356908
网易云音乐,回避型人格……,1,哦嚎l,2025-04-24 10:03:32,1359356908
网易云音乐,晚安是留给爱的人！朋友我都是安！,1,哦嚎l,2025-04-24 10:02:19,1359356908
网易云音乐,不像啊🤔,1,小雨几时晴x,2025-04-24 09:43:19,1359356908
网易云音乐,不像,1,救赎的白帆,2025-04-24 09:39:04,1359356908
网易云音乐,这个歌咋有点像白羊,1,嘿大瑶,2025-04-24 08:47:21,1359356908
网易云音乐,2025.4.24,1,東京記雨,2025-04-24 08:21:51,1359356908
网易云音乐,非要变得那么坏才能立足世界吗 可是我想当一辈子的小孩,1,从不对我说_ui,2025-04-24 08:05:35,1359356908
网易云音乐,有时候也怪自己明明很想你却没有和你好好说话,1,从不对我说_ui,2025-04-24 08:05:01,1359356908
网易云音乐,来了,1,江遇可爱鬼,2025-04-24 07:57:27,1359356908
网易云音乐,待我耗完这最后的爱 就放过自己,1,让雨停止,2025-04-24 07:49:24,1359356908
网易云音乐,[多多大笑],1,笑笑爱笑Ya,2025-04-24 07:27:08,1359356908
网易云音乐,可不可以爱我 只爱我,1,捌月念肆,2025-04-24 07:02:30,1359356908
网易云音乐,可我后悔了，怎么办,1,大厦研究冥想音乐,2025-04-24 06:47:12,1359356908
网易云音乐,晚安啦King婷！,1,BHWBH,2025-04-24 05:29:38,1359356908
网易云音乐,是梦都会醒,1,_阿景i,2025-04-24 05:13:31,1359356908
网易云音乐,你好啊 亲爱的陌生人,1,想念就說想念,2025-04-24 05:09:34,1359356908
网易云音乐,早点睡,1,晓晓困_Tfvi,2025-04-24 05:06:55,1359356908
网易云音乐,生日快乐,1,唉萌命难改,2025-04-24 04:51:24,1359356908
网易云音乐,晚安,1,唉萌命难改,2025-04-24 04:50:41,1359356908
网易云音乐,忽冷忽热是喜欢还是不喜欢...,1,唉萌命难改,2025-04-24 04:50:33,1359356908
网易云音乐,晚安,1,猫泪印,2025-04-24 04:31:07,1359356908
网易云音乐,商雨菡 晚安 祝你有个好梦,1,之后会想起我吗,2025-04-24 03:18:05,1359356908
网易云音乐,你不需要向任何人证明，你真的很棒很棒,1,小Yi同学--,2025-04-24 02:57:49,1359356908
网易云音乐,再见啦,1,JJJimLinjn,2025-04-24 02:57:21,1359356908
网易云音乐,妈咪小狗想你惹qaq,1,Hello天赋,2025-04-24 02:57:19,1359356908
网易云音乐,如果眼泪比爱多 那我们走到这里就可以了,1,小葵好困o,2025-04-24 02:28:05,1359356908
网易云音乐,😄😄😄,1,要剪微分碎盖,2025-04-24 02:24:03,1359356908
网易云音乐,郭梦红，晚安,1,蜉蝣梦丶,2025-04-24 02:23:53,1359356908
网易云音乐,你喜欢的人现在也不跟你说晚安嘛？听完晚安就让 Ta 沉睡在你的记忆中吧…,1,凯迪尔_0215,2025-04-24 02:17:23,1359356908
网易云音乐,晚安,1,不如早点睡-_-p,2025-04-24 01:56:06,1359356908
网易云音乐,来了,1,雪糕姐姐-,2025-04-24 01:55:55,1359356908
网易云音乐,不真诚的人吞一万个银针,1,x卉-,2025-04-24 01:52:24,1359356908
网易云音乐,陆……晚安，我真的真的真的好想回到以前…ʷᵒ ʰᵃᵒ ˣⁱᵃⁿᵍ ⁿⁱ ߹ᯅ߹，我真的好后悔遇见你，但又很高兴遇见你，我忘不了，真的真的忘不了与你最初那么那么快乐的时光…，我的生活是从有了你才一点都不空虚的，你知道吗？我真的很喜欢你，喜欢的可以为你放下一切，把一切都给你，喜欢的可以为你什么都全力以赴去做到…我真的好想念最初的那个你…,1,愛陸堅不棄,2025-04-24 01:52:02,1359356908
网易云音乐,晚安hzt ,1,曦崽_Xxx,2025-04-24 01:41:35,1359356908
网易云音乐,晚安lyf ,1,曦崽_Xxx,2025-04-24 01:41:24,1359356908
网易云音乐,晚安sjf,1,轩_1222,2025-04-24 01:41:07,1359356908
网易云音乐,生日快乐,1,开封下起了小雨,2025-04-24 01:37:59,1359356908
网易云音乐,晚安💤,1,不用非死book,2025-04-24 01:35:21,1359356908
网易云音乐,今天生日，登上网易云，网易云给我放了生日快乐，,1,此账号已注销_7V6l,2025-04-24 01:33:03,1359356908
网易云音乐,你骗了我好多次 可我为了留住这份感情 也装傻充楞了好多好多次,1,雪下第一劍,2025-04-24 01:29:41,1359356908
网易云音乐,晚安,1,张星特不闭麦z,2025-04-24 01:25:37,1359356908
网易云音乐,会有人喜欢长相普通的我吗？,1,hill颖,2025-04-24 01:21:21,1359356908
网易云音乐,晚安,1,Nobob1,2025-04-24 01:19:48,1359356908
网易云音乐,人总是会变的 有一天我问你会不会陪我走很远的路 会不会接受我的幼稚 忍耐我的脾气 你说当然 后来你总说睡着了没看手机或者在忙 我发现人都是会变的 每个离开的人最初都会说坚定陪你走下去 可到最后远到提起往事都要说从前,1,-小璇一,2025-04-24 01:18:03,1359356908
网易云音乐,我不想内耗了，可我又舍不得，人呢还是那么矛盾，既然拒绝我表白，又为何和还有给我分享日常呢，啊啊啊啊啊，好不甘呢，“我不知道怎么谈恋爱”，好可笑的借口。[多多大笑][多多大笑][多多大笑][多多大笑],1,筱月魈,2025-04-24 01:14:19,1359356908
网易云音乐,晚安💤,1,天降云少,2025-04-24 01:14:01,1359356908
网易云音乐,喜欢你才说晚安的,1,熱帶雨林ii,2025-04-24 01:08:21,1359356908
网易云音乐,我真的只喜欢你  也只和你说晚安,1,Y喵少爷,2025-04-24 01:06:12,1359356908
网易云音乐,当你焦虑内耗时，请一定记得，人生只是各种体验的叠加，只要你想，你就可以去做那些无意义的事，比如发呆，看日出，数星屋。你的体验，就是最大的意义。人生并不是一定要去做大家世俗认为有意义的事，意义是自己赋予的，人生是旷野不是轨道，只要当下你是享受的就是有意义的。,1,小析翊,2025-04-24 01:04:41,1359356908
网易云音乐,(◍•ᴗ•◍),1,一只哄你开心的猫猫虫咧,2025-04-24 01:01:27,1359356908
网易云音乐,摸摸,1,一只哄你开心的猫猫虫咧,2025-04-24 01:01:12,1359356908
网易云音乐,晚安dyn,1,地狱是我家明白,2025-04-24 00:59:40,1359356908
网易云音乐,晚安 咩咩,1,freezzzzzz,2025-04-24 00:56:03,1359356908
网易云音乐,这里,1,戏腔boys,2025-04-24 00:56:01,1359356908
网易云音乐,这里,1,戏腔boys,2025-04-24 00:56:00,1359356908
网易云音乐,晚安 喵喵喵喵喵喵喵喵,1,我超浪漫的好吗,2025-04-24 00:55:41,1359356908
网易云音乐,我不会回头的 但是我又不甘心 在这里没有人认识我 谁来听听我的故事,1,秋可寒,2025-04-24 00:54:06,1359356908
网易云音乐,"晚安 还有17天～
",1,烦如心糟,2025-04-24 00:53:56,1359356908
网易云音乐,替你们试过了 能好好做朋友就别发展成恋人。,1,秋可寒,2025-04-24 00:53:04,1359356908
网易云音乐,"“几人份的畅谈 道三两句晚安，
惹多情的遐想 却轻易地走散。”",1,秋可寒,2025-04-24 00:52:52,1359356908
网易云音乐,25年了，再来听一次吧,1,好喜欢猫咪老师呐,2025-04-24 00:51:59,1359356908
网易云音乐,在这,1,好喜欢猫咪老师呐,2025-04-24 00:51:35,1359356908
网易云音乐,k 这是你当时最喜欢的歌 一听到这首就想起了当时的你 那时候的我们多好啊 现在却变成了最熟悉的陌生人 但是我不后悔 你教会了我很多事情 我长记性了 但是现在的我变了 不想了解其他人 也无法像以前一样热情了,1,秋可寒,2025-04-24 00:51:22,1359356908
网易云音乐,晚安 阿福,1,我超浪漫的好吗,2025-04-24 00:48:48,1359356908
网易云音乐,晚安晚安是什么,1,AK--yy,2025-04-24 00:43:39,1359356908
网易云音乐,明年四月我再来,1,汪庚弋,2025-04-24 00:41:16,1359356908
网易云音乐,大宝晚安( ˘ω˘ ),1,-記l憶-,2025-04-24 00:41:09,1359356908
网易云音乐,嘘 别吵 我在等一批2025年4月的人,1,酱香饼_McVe,2025-04-24 00:39:20,1359356908
网易云音乐,hi,1,竹石-亚欧地区花样装B大赛第一名,2025-04-24 00:39:03,1359356908
网易云音乐,陌生人晚安💤,1,鲨鱼0614,2025-04-24 00:31:55,1359356908
网易云音乐,晚安,1,天天想周,2025-04-24 00:29:58,1359356908
网易云音乐,在这里呦,1,猴小宝宝宝,2025-04-24 00:28:35,1359356908
网易云音乐,她的晚安还在吗,1,予悦yy,2025-04-24 00:28:01,1359356908
网易云音乐,小乖要早点睡觉咯，晚安。,1,许江宜_,2025-04-24 00:27:40,1359356908
网易云音乐,在呢在呢,1,佩皮尼昂霓虹紫西瓜,2025-04-24 00:24:23,1359356908
网易云音乐,谢谢,1,慕川of网易云,2025-04-24 00:18:46,1359356908
网易云音乐,也愿你每次都平平安安,1,慕川of网易云,2025-04-24 00:18:36,1359356908
网易云音乐,非常伟大的梦想，加油，一定会成功的,1,慕川of网易云,2025-04-24 00:18:21,1359356908
网易云音乐,这,1,若幸福就不听歌,2025-04-24 00:15:38,1359356908
网易云音乐,逼一个人对你好真的很没意思,1,有丶些,2025-04-24 00:14:51,1359356908
网易云音乐,晚安,1,待雨如晴,2025-04-24 00:13:53,1359356908
网易云音乐,好棒啊,1,懂我的敏感-,2025-04-24 00:13:42,1359356908
网易云音乐,好想出去淋雨哦～[憨笑][憨笑][憨笑],1,yangyang20_,2025-04-24 00:12:13,1359356908
网易云音乐,晚安,1,小_爱神,2025-04-24 00:11:34,1359356908
网易云音乐,@媛是我的一切 晚安,1,可我不善言表,2025-04-24 00:10:42,1359356908
网易云音乐,在你眼中 我是什么样子的,1,x_睡個好覺叭,2025-04-24 00:10:11,1359356908
网易云音乐,接,1,小鹿uv,2025-04-24 00:09:01,1359356908
网易云音乐,晚安💤,1,竹清清_,2025-04-24 00:06:14,1359356908
网易云音乐,说来奇怪 那天看到没有回复的信息以后我就真的开始新的生活了,1,-碎誓生锈-_,2025-04-24 00:05:39,1359356908
网易云音乐,最近热榜怎么都是我以前爱听的[大笑],1,Witd_798,2025-04-24 00:01:08,1359356908
网易云音乐,"哪个网易云十二周年，让我突然发觉这个歌已经是19年了吗
",1,素月1803,2025-04-24 00:00:18,1359356908
